ogid	fname	gname	year	occ	gqid	cy	ark	title	creator
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k105465r	Souvenirs de voyages et traditions populaires / par X. Marmier	Marmier, Xavier (1808-1892). Auteur du texte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1054664	Nouveaux souvenirs de voyage. Franche-Comté / par X. Marmier	Marmier, Xavier (1808-1892). Auteur du texte
franck-adolphe-1809-10-02	Franck	Adolphe	1809	writer	A6-335	FR	https://gallica.bnf.fr/ark:/12148/bpt6k902816	Les métaux sont des corps composés : mémoires présentés à l'Académie des sciences / par C.-Théodore Tiffereau,... ; par 	Franck, Adolphe (1809-1893). Auteur du texte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9692198f	Impressions et souvenirs d'un voyageur chrétien / par Xavier Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte
dujardin-edouard-1861-11-10	Dujardin	Edouard	1861	novelist	A6-280	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3351742r	Rencontres avec Houston Stewart Chamberlain : souvenirs et correspondance / Édouard Dujardin	Dujardin, Édouard (1861-1949). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k34104236	Souvenirs d'un Bas-Breton. Série 2 / par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k405865m	Souvenirs du dîner Bixio / Jules Claretie ; préf. de Georges Claretie	Claretie, Jules (1840-1913). Auteur du texte
montegut-emile-1825-06-23	Montegut	Emile	1825	writer	A6-584	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1022057	Tableaux de la France : souvenirs de Bourgogne / par Émile Montégut	Montégut, Émile (1825-1895). Auteur du texte / Autrice du texte
nisard-desire-1806-03-20	Nisard	Désiré	1806	writer	A6-599	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9675503q	Souvenirs de voyages : France, Belgique, Prusse rhénane, Angleterre / par D. Nisard,...	Nisard, Désiré (1806-1888). Auteur du texte
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6464633h	Paris assiégé : tableaux et souvenirs, septembre 1870-janvier 1871 / Jules Claretie	Claretie, Jules (1840-1913). Auteur du texte
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	https://gallica.bnf.fr/ark:/12148/bpt6k64640195	Le siège de Paris : impressions et souvenirs (30e édition) / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte
thierry-augustin-1795-05-10	Thierry	Augustin	1795	writer	A6-769	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3181413	Histoire de France , traduite et extraite des chroniques originales, mémoires et autres documents authentiques, par A. T	Thierry, Augustin (1795-1856). Auteur du texte
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1083446	Sophie Arnould, d'après sa correspondance et ses mémoires inédits (Edition définitive) / [éd. par] Edmond et Jules de Go	Goncourt, Edmond de (1822-1896). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k56565702	La Terreur blanche : épisodes et souvenirs (1815) (3e édition) / par Ernest Daudet	Daudet, Ernest (1837-1921). Auteur du texte
riviere-jacques-1886-07-15	Riviere	Jacques	1886	novelist	A6-690	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9465424	Allemand , souvenirs et réflexions d'un prisonnier de guerre de 1914-1918	Rivière, Jacques (1886-1925). Auteur du texte
fleuriot-zenaide-1829-10-28	Fleuriot	Zenaide	1829	novelist	A6-320	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5805469v	Papillonne. Souvenirs de jeunesse d'un vieux campagnard, nouvelles... / Mlle Zénaïde Fleuriot	Fleuriot, Zénaïde (1829-1890). Auteur du texte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k370003d	Impressions et souvenirs d'un voyageur chrétien. Réimpr. 1887 / par Xavier Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k61331706	La Terreur blanche : épisodes et souvenirs de la réaction dans le Midi en 1815, d'après des souvenirs contemporains et d	Daudet, Ernest (1837-1921). Auteur du texte
about-edmond-1828-02-14	About	Edmond	1828	novelist	A6-2	FR	https://gallica.bnf.fr/ark:/12148/bpt6k34107823	Nouvelles et souvenirs (6e édition) / Edmond About,... ; ouvrage illustré... d'après Emile Bayard	About, Edmond (1828-1885). Auteur du texte
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5439085p	Souvenirs du quatre septembre. Le Gouvernement de la défense nationale / par Jules Simon	Simon, Jules (1814-1896). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5545585p	Mon frère et moi : souvenirs d'enfance et de jeunesse / par Ernest Daudet	Daudet, Ernest (1837-1921). Auteur du texte
