decision	ogid	pg_id	title	reason
reject	franc-nohain-legrand-1872-10-25	66852	La nouvelle cuisinière bourgeoise: Plaisirs de la table et s	not-memoir-title
reject	goyau-georges-1869-05-31	66894	Le livre des visions et instructions de la bienheureuse Angè	not-memoir-title
reject	hello-ernest-1828-11-05	66894	Le livre des visions et instructions de la bienheureuse Angè	not-memoir-title
reject	about-edmond-1828-02-14	66927	Lettres d'un bon jeune homme à sa cousine Madeleine	not-memoir-title
reject	bloy-leon-1846-07-11	67052	Celle qui pleure (Notre Dame de la Salette)	not-memoir-title
reject	le-bon-gustave-1841-05-07	67253	La naissance et l'évanouissement de la matière	not-memoir-title
reject	claretie-jules-1840-12-03	67402	Les Huit Jours du Petit Marquis; Carlos et Cornélius	fiction-as-memoir (Subjects)
reject	frapie-leon-1863-01-27	67884	Les Obsédés	fiction-as-memoir (Subjects)
reject	bourget-paul-1852-09-02	68307	Sur la route de Palmyre	not-memoir-title
reject	boylesve-rene-1867-04-14	68501	Le bel avenir	fiction-as-memoir (Subjects)
reject	baumann-emile-1868-09-24	68595	Saint Paul	not-memoir-title
reject	bourget-paul-1852-09-02	68632	Le Voyage du Centurion	fiction-as-memoir (Subjects)
reject	faure-elie-1873-04-04	68636	Napoléon	not-memoir-title
reject	boylesve-rene-1867-04-14	68818	Les deux romanciers	fiction-as-memoir (Subjects)
reject	franc-nohain-legrand-1872-10-25	68839	Le Pays de l'Instar	not-memoir-title
reject	silvestre-charles-1889-02-02	69437	Prodige du cœur	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	69794	De Pontoise à Stamboul	not-memoir-title
reject	hemon-louis-1880-10-12	70094	Itinéraires	not-memoir-title
reject	cherau-gaston-1872-11-06	70126	Nêne	fiction-as-memoir (Subjects)
reject	baumann-emile-1868-09-24	70538	Job le prédestiné	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	70612	Les moyens du bord	fiction-as-memoir (Subjects)
reject	thierry-augustin-1795-05-10	70676	Lettres sur l'histoire de France	not-memoir-title
reject	barbusse-henri-1873-05-17	70762	Jésus	not-memoir-title
reject	frapie-leon-1863-01-27	71143	La Maternelle	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	71206	Souvenirs épars d'un ancien cavalier	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	71287	Feuilles tombées	not-memoir-title
reject	bernard-tristan-1866-09-07	71293	L'affaire Larcier	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	71300	Les veillées du chauffeur	not-memoir-title
reject	baumann-emile-1868-09-24	71473	Le baptême de Pauline Ardel	fiction-as-memoir (Subjects)
reject	lorrain-jean-1855-08-09	71555	Heures de Corse	not-memoir-title
reject	reclus-elisee-1830-03-15	71588	Les républiques de l'Amérique du Sud	not-memoir-title
reject	bernard-tristan-1866-09-07	71635	Mémoires d'un jeune homme rangé	fiction-as-memoir (Subjects)
reject	silvestre-charles-1889-02-02	71778	Aimée Villard, fille de France	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	71911	Le roman d'un mois d'été	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	72023	L'enfant prodigue du Vésinet : roman	fiction-as-memoir (Subjects)
accept	alain-chartier-1868-03-03	72071	Souvenirs concernant Jules Lagneau	author+year+memoir-title
reject	alain-chartier-1868-03-03	72145	Propos sur le christianisme	not-memoir-title
reject	faure-elie-1873-04-04	72160	La roue	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	72205	La faune des plateaux	not-memoir-title
reject	arene-paul-1843-06-26	72618	Au bon soleil	fiction-as-memoir (Subjects)
reject	renard-jules-1864-02-22	72702	Nos frères farouches	fiction-as-memoir (Subjects)
reject	baumann-emile-1868-09-24	72759	Le signe sur les mains	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	72773	Le roi des montagnes	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	72784	Auteurs, acteurs, spectateurs	not-memoir-title
reject	baumann-emile-1868-09-24	72819	Intermèdes	not-memoir-title
reject	veuillot-louis-1813-10-11	72844	L'illusion libérale	not-memoir-title
reject	lorrain-jean-1855-08-09	72931	Heures d'Afrique	not-memoir-title
reject	aulard-francois-1849-07-19	72990	Voyage à Montbard	given-name mismatch (fa vs francois)
reject	bloy-leon-1846-07-11	73282	Jeanne d'Arc et l'Allemagne	not-memoir-title
reject	cherbuliez-victor-1829-07-19	73349	Meta Holdenis	fiction-as-memoir (Subjects)
reject	lemonnier-camille-1844-03-23	73562	Comme va le ruisseau	fiction-as-memoir (Subjects)
reject	hemon-louis-1880-10-12	73653	La belle que voilà...	fiction-as-memoir (Subjects)
reject	arene-paul-1843-06-26	73832	Nouveaux contes de Noël	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	73874	Le voyage imprévu	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	73884	Décadence et grandeur	fiction-as-memoir (Subjects)
reject	riviere-jacques-1886-07-15	73918	De la sincérité envers soi-même	not-memoir-title
reject	claretie-jules-1840-12-03	73928	Zig-zags en Bulgarie	not-memoir-title
reject	riviere-jacques-1886-07-15	73985	L'Allemand	not-memoir-title
